1,C00523001,18-24,QUARTERLY FILER
2,C00555524,18-29 PAC,QUARTERLY FILER
3,C00508200,1911 UNITED,QUARTERLY FILER
4,C00569905,2016 COMMITTEE; THE,QUARTERLY FILER
5,C00571497,3 SOLUTIONS,MONTHLY FILER
6,C00567800,314 PAC,QUARTERLY FILER
7,C00574152,420 USA PAC,QUARTERLY FILER
8,C00576819,441PAC,QUARTERLY FILER
9,C00577114,5 DOLLAR SUPER PAC,QUARTERLY FILER
10,C00502633,50 STATE STRATEGY,QUARTERLY FILER
11,C00525998,A CANTOR OUT OF TUNE,QUARTERLY FILER
12,C00588954,A NEW DIRECTION USA,QUARTERLY FILER
13,C00587659,A NEW VOICE FOR MARYLAND,QUARTERLY FILER
14,C00508952,A SUPERPAC,QUARTERLY FILER
15,C00586487,A TIME FOR CHOOSING,QUARTERLY FILER
16,C00519991,ABAMCIS SECURING THE SECOND AMENDMENT FOR AMERICA'S FUTURE,QUARTERLY FILER
17,C00527754,ABBEY ROAD,QUARTERLY FILER
18,C00582593,ABILITY PAC,QUARTERLY FILER
19,C00582262,ACCELERATE WEST VIRGINIA,QUARTERLY FILER
20,C00513507,ACCOMPLISH OUR MISSION,QUARTERLY FILER
21,C00489641,ACCOUNTABILITY 2010,QUARTERLY FILER
22,C00569996,ACTION PAC,QUARTERLY FILER
23,C00508788,ACTION4LIBERTY,QUARTERLY FILER
24,C00566711,ACTUAL CITIZENS UNITED,QUARTERLY FILER
25,C00526061,ADVANCING FREEDOM ACTION NETWORK,QUARTERLY FILER
26,C00570093,ADVANCING FREEDOM FUND,QUARTERLY FILER
27,C00540047,ADVANCING INTERNATIONAL RELATIONS,QUARTERLY FILER
28,C00523159,AFFORDABLE HEALTH CARE FOR AMERICA PAC,QUARTERLY FILER
29,C00541771,AFRICAN AMERICAN SUPER PAC,QUARTERLY FILER
30,C00586818,AFRICAN AMERICANS FOR HILLARY,QUARTERLY FILER
31,C00580936,AGENDA USA,QUARTERLY FILER
32,C00541920,AKYUMEN SOCIETY; THE,QUARTERLY FILER
33,C00526087,ALABAMA HORSE ASSOCIATION,QUARTERLY FILER
34,C00527598,ALASKA HORSE ASSOCIATION,QUARTERLY FILER
35,C00569277,ALASKA PRIORITIES,QUARTERLY FILER
36,C00566729,ALASKA RIGHT TO LIFE FEDERAL VICTORY FUND,QUARTERLY FILER
37,C00552414,ALASKA'S ENERGY / AMERICA'S VALUES,QUARTERLY FILER
38,C00489385,ALASKANS STANDING TOGETHER,QUARTERLY FILER
39,C00564351,ALL CITIZENS FOR MISSISSIPPI,QUARTERLY FILER
40,C00565069,ALL IN FOR AMERICA PAC,QUARTERLY FILER
41,C00564013,ALLIANCE FOR A BETTER MINNESOTA FEDERAL PAC,QUARTERLY FILER
42,C00569343,ALLIANCE FOR A BETTER RHODE ISLAND,QUARTERLY FILER
43,C00546986,ALLIANCE FOR THE NEXT GENERATION,MONTHLY FILER
44,C00580753,ALWAYS FAITHFUL TO AMERICA,QUARTERLY FILER
45,C00589010,AMERIANS FOR GREATNESS,QUARTERLY FILER
46,C00520411,AMERICA 360 COMMITTEE,QUARTERLY FILER
47,C00542522,AMERICA 365,QUARTERLY FILER
48,C00567974,AMERICA FIRST,QUARTERLY FILER
49,C00559757,AMERICA FOR TECHNOCRATIC ACTION ATA,QUARTERLY FILER
50,C00576884,AMERICA FORWARD,QUARTERLY FILER
51,C00532820,AMERICA FRIENDSHIP INC,QUARTERLY FILER
52,C00565333,AMERICA IN ACTION,QUARTERLY FILER
53,C00577239,AMERICA IS SUPER PAC,QUARTERLY FILER
54,C00573055,AMERICA LEADS,QUARTERLY FILER
55,C00542381,AMERICA MATTERS,QUARTERLY FILER
56,C00526012,AMERICA ON THE MOVE,QUARTERLY FILER
57,C00586016,AMERICA PROGRESS,QUARTERLY FILER
58,C00560383,AMERICA UNLEASHED SUPER PAC,MONTHLY FILER
59,C00492520,AMERICA VOTES ACTION FUND,QUARTERLY FILER
60,C00586776,AMERICA WE CAN DO THIS,QUARTERLY FILER
61,C00573048,AMERICA'S BEST COMMITTEE,QUARTERLY FILER
62,C00532572,AMERICA'S LIBERTY PAC,QUARTERLY FILER
63,C00573741,AMERICA'S TEACHERS,QUARTERLY FILER
64,C00554733,AMERICA'S TERM LIMITS CAMPAIGN,QUARTERLY FILER
65,C00574475,AMERICA'S YOUTH PAC,QUARTERLY FILER
66,C00584847,AMERICALEADS.ORG SUPER PAC,QUARTERLY FILER
67,C00567016,AMERICAN ALLIANCE,QUARTERLY FILER
68,C00523092,AMERICAN ALLIANCE FOR AFRICA PAC,QUARTERLY FILER
69,C00492140,AMERICAN BRIDGE 21ST CENTURY,QUARTERLY FILER
70,C00587055,AMERICAN CITIZENS FIRST,QUARTERLY FILER
71,C00498725,AMERICAN CITIZENS OF MODEST MEANS A COMM,QUARTERLY FILER
72,C00547265,AMERICAN COMMITMENT ACTION FUND,QUARTERLY FILER
73,C00505792,AMERICAN CONSERVATIVE UNION SUPER PAC,QUARTERLY FILER
74,C00487363,AMERICAN CROSSROADS,QUARTERLY FILER
75,C00488338,AMERICAN DENTAL ASSOCIATION INDEPENDENT EXPENDITURES COMMITTEE,QUARTERLY FILER
76,C00575100,AMERICAN ENCORE ACTION,QUARTERLY FILER
77,C00568543,AMERICAN FREEDOM BUILDERS ACTION NETWORK,QUARTERLY FILER
78,C00548867,AMERICAN HEARTLAND PAC,QUARTERLY FILER
79,C00579078,AMERICAN HOMECOMING,QUARTERLY FILER
80,C00526079,AMERICAN HORSE ASSOCIATION; THE,QUARTERLY FILER
81,C00560615,AMERICAN JOBS COUNCIL FEDERAL POLITICAL ACTION INC,MONTHLY FILER
82,C00546598,AMERICAN LEADHERSHIP PAC,QUARTERLY FILER
83,C00543454,AMERICAN LEAGUE OF CHARITABLE ORGANIZATIONS,QUARTERLY FILER
84,C00500512,AMERICAN LEGACY ALLIANCE,QUARTERLY FILER
85,C00586719,AMERICAN LEMONADE STAND SUPER PAC,QUARTERLY FILER
86,C00545798,AMERICAN LIBERTY PAC,QUARTERLY FILER
87,C00559229,AMERICAN NURSES ASSOCIATION INDEPENDENT EXPENDITURE POLITICAL ACTION COMMITTEE (ANA IE PAC,QUARTERLY FILER
88,C00550368,AMERICAN OPPORTUNITY PAC,QUARTERLY FILER
89,C00574657,AMERICAN PERSONAL PRIVACY ACTION FUND,QUARTERLY FILER
90,C00527804,AMERICAN PRINCIPLES SUPERPAC,QUARTERLY FILER
91,C00519918,AMERICAN PRIORITIES JOINT FUNDRAISING COMMITTEE,QUARTERLY FILER
92,C00569202,AMERICAN REASON,QUARTERLY FILER
93,C00569418,AMERICAN SOLUTIONS - PAC,QUARTERLY FILER
94,C00578435,AMERICAN STEWARDSHIP,QUARTERLY FILER
95,C00541987,AMERICAN TIGER PAC,QUARTERLY FILER
96,C00523589,AMERICAN UNITY PAC INC,QUARTERLY FILER
97,C00512871,AMERICAN VALUES COALITION,QUARTERLY FILER
98,C00522441,AMERICAN VETO,QUARTERLY FILER
99,C00587709,AMERICAN WAY FOUNDATION COMMITTEE; THE,QUARTERLY FILER
100,C00527564,AMERICAN WILD HORSE AND BURRO ASSOCIATION,QUARTERLY FILER
101,C00511915,AMERICAN WORKING FAMILIES,QUARTERLY FILER
102,C00566380,AMERICAN'S FOR FREEDOM OF CHOICE,QUARTERLY FILER
103,C00581322,AMERICANA,QUARTERLY FILER
104,C00545327,AMERICANS AGAINST AMERICANS WHO DO NOT RECYCLE AND MISSPELL BENGAZI,QUARTERLY FILER
105,C00570788,AMERICANS FOR A BETTER TOMORROW TODAY,QUARTERLY FILER
106,C00533125,AMERICANS FOR A BETTER TOMORROW PERIOD,QUARTERLY FILER
107,C00567255,"AMERICANS FOR A BETTER YESTERDAY, TOMORROW",QUARTERLY FILER
108,C00570481,AMERICANS FOR A BETTER YESTERDAY,QUARTERLY FILER
109,C00576439,AMERICANS FOR A DEMOCRATIC MAJORITY,QUARTERLY FILER
110,C00543058,AMERICANS FOR A GREATER VOICE,QUARTERLY FILER
111,C00570523,AMERICANS FOR A LIVING WAGE,QUARTERLY FILER
112,C00514224,AMERICANS FOR ACCOUNTABILITY IN LEADERSHIP,MONTHLY FILER
113,C00526558,AMERICANS FOR AFFORDABLE HOUSING AND ASSISTING THE SHELTERLESS,QUARTERLY FILER
114,C00568527,AMERICANS FOR BETTER BREWING AKA SIX-PAC,QUARTERLY FILER
115,C00562413,AMERICANS FOR COMMON SENSE (AFCS),QUARTERLY FILER
116,C00524470,AMERICANS FOR CONSERVATIVE LEADERSHIP,QUARTERLY FILER
117,C00587337,AMERICANS FOR CRUSHING IT,QUARTERLY FILER
118,C00572719,AMERICANS FOR EQUALITY,QUARTERLY FILER
119,C00541136,AMERICANS FOR FREEDOM AND PROGRESS,QUARTERLY FILER
120,C00513804,"AMERICANS FOR GROWTH, OPPORTUNITY AND PROSPERITY, INC.",QUARTERLY FILER
121,C00587584,AMERICANS FOR HEALTH,QUARTERLY FILER
122,C00571638,AMERICANS FOR HEALTH AND EDUCATION SUPER PAC,QUARTERLY FILER
123,C00405878,AMERICANS FOR LEGAL IMMIGRATION PAC,QUARTERLY FILER
124,C00529032,AMERICANS FOR LOGIC,QUARTERLY FILER
125,C00512582,AMERICANS FOR MORE RHOMBUS,QUARTERLY FILER
126,C00485821,AMERICANS FOR NEW LEADERSHIP,QUARTERLY FILER
127,C00569913,AMERICANS FOR OUR FUTURE,QUARTERLY FILER
128,C00564781,AMERICANS FOR POSTERITY,QUARTERLY FILER
129,C00526608,AMERICANS FOR PRISON REFORM,QUARTERLY FILER
130,C00540443,AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,QUARTERLY FILER
131,C00583666,AMERICANS FOR SENSIBLE POLICY REFORM,QUARTERLY FILER
132,C00532838,AMERICANS FOR SOLUTIONS,QUARTERLY FILER
133,C00550558,AMERICANS FOR TAX REFORM PAC,QUARTERLY FILER
134,C00565010,AMERICANS FOR THE CONSERVATION OF LIBERTY,QUARTERLY FILER
135,C00561514,AMERICANS FOR THE NEXT GENERATION,QUARTERLY FILER
136,C00522334,AMERICANS FOR THE WIN TOMORROW,QUARTERLY FILER
137,C00552802,AMERICANS IN ACTION,QUARTERLY FILER
138,C00569475,AMERICANS4,QUARTERLY FILER
139,C00542902,AMERICARISINGPAC.ORG,QUARTERLY FILER
140,C00559906,AMERICAS PAC,QUARTERLY FILER
141,C00539957,AMIGOS PAC,QUARTERLY FILER
142,C00579094,ANTI SUPER PAC SUPER PAC,QUARTERLY FILER
143,C00585927,APPRENTICE SUPER PAC INC,QUARTERLY FILER
144,C00586925,ARIZONA FRONTIER FUND,QUARTERLY FILER
145,C00558445,ARIZONA GRASSROOTS ACTION PAC,QUARTERLY FILER
146,C00526095,ARIZONA HORSE ASSOCIATION,QUARTERLY FILER
147,C00547497,ARKANSAS HORIZON,QUARTERLY FILER
148,C00526780,ARKANSAS HORSE ASSOCIATION,QUARTERLY FILER
149,C00582965,ART OF THE DEAL PAC,QUARTERLY FILER
150,C00507533,ARTICLEIISUPERPAC,QUARTERLY FILER
151,C00575027,ARTSPAC,QUARTERLY FILER
152,C00541797,ASIAN AMERICAN SUPER PAC,QUARTERLY FILER
153,C00519777,ASIAN AMERICANS FOR PEACE AND PROSPERITY,QUARTERLY FILER
154,C00425645,"ATLAS PAC, FEDERAL",MONTHLY FILER
155,C00526350,AUTISM SUPER PAC; THE,QUARTERLY FILER
156,C00567982,B-PAC,QUARTERLY FILER
157,C00571539,BAC PAC: BETTERING AMERICAN CLASSROOMS,QUARTERLY FILER
158,C00583609,BACK TO PROSPERITY,QUARTERLY FILER
159,C00559765,BALANCE OF POWER PAC,QUARTERLY FILER
160,C00541391,BATTLEGROUND TEXAS,QUARTERLY FILER
161,C00580670,BC FOR A BETTER TOMORROW,QUARTERLY FILER
162,C00543298,BEARDED ENTREPRENEURS FOR THE ADVANCEMENT OF A RESPONSIBLE DEMOCRACY,QUARTERLY FILER
163,C00569129,BEAT REID PAC,QUARTERLY FILER
164,C00571711,BELIEVE AGAIN,QUARTERLY FILER
165,C00557207,BELIEVE IN AMERICA SUPER PAC,QUARTERLY FILER
166,C00569681,BERGEN CARES,QUARTERLY FILER
167,C00576900,BETTER LOUISIANA PAC,QUARTERLY FILER
168,C00565176,BETTER WAY SUPER PAC; THE,QUARTERLY FILER
169,C00572420,BILLFORFIRSTLADY2016.COM PAC,QUARTERLY FILER
170,C00581280,BILLIONAIRES FOR BOLD EDUCATED RESOLUTE NOBLE INDEPENDENT ENLIGHTENED-STATESMANSHIP,QUARTERLY FILER
171,C00567784,BLACK AMERICANS FOR A BETTER FUTURE,QUARTERLY FILER
172,C00583880,BLACK LIVES MATTER,QUARTERLY FILER
173,C00528950,BLACK MEN VOTE,QUARTERLY FILER
174,C00571398,BLAKPAC,QUARTERLY FILER
175,C00487827,BLUE AMERICA PAC INDEPENDENT EXPENDITURE COMMITTEE,QUARTERLY FILER
176,C00553602,BLUE SOUTH,QUARTERLY FILER
177,C00535195,BLUE SOUTH PROJECT SUPERPAC,QUARTERLY FILER
178,C00567172,BLUEGRASS RURAL,QUARTERLY FILER
179,C00569426,BOLD AGENDA PAC,QUARTERLY FILER
180,C00583468,BRAIN SLUG PAC,QUARTERLY FILER
181,C00568493,BRIAN TERRY SECURE BORDER PROJECT,QUARTERLY FILER
182,C00520684,BRIGHTER FUTURE FUND,QUARTERLY FILER
183,C00571836,BRIGHTER PENNSYLVANIA PAC,QUARTERLY FILER
184,C00587881,BRING BACK AMERICAN OPPORTUNITY,QUARTERLY FILER
185,C00559781,BUILDING A BETTER PA,QUARTERLY FILER
186,C00586602,BUSINESSMEN FOR A BUSINESSMAN PRESIDENT,QUARTERLY FILER
187,C00544304,CADET,QUARTERLY FILER
188,C00557157,CAL VOTERS FOR HONEST GOVERNMENT,QUARTERLY FILER
189,C00527093,CALIFORNIA HORSE ASOCIATION,QUARTERLY FILER
190,C00484295,CALIFORNIANS FOR FISCALLY CONSERVATIVE LEADERSHIP,QUARTERLY FILER
191,C00566679,CALIFORNIANS FOR INNOVATION,QUARTERLY FILER
192,C00564070,CAMBODIAN-AMERICANS POLITICAL ACTION COMMITTEE,QUARTERLY FILER
193,C00544387,CAMPAIGN FOR AMERICAN PRINCIPLES,QUARTERLY FILER
194,C00489617,CAMPAIGN FOR AMERICAN VALUES PAC,MONTHLY FILER
195,C00588681,CAMPAIGN FOR CHRIST PAC,QUARTERLY FILER
196,C00562785,CAMPAIGN FOR JOBS AND OPPORTUNITY,QUARTERLY FILER
197,C00502849,CAMPAIGN FOR PRIMARY ACCOUNTABILITY INC,MONTHLY FILER
198,C00556233,CAMPAIGNING FOR JUSTICE,QUARTERLY FILER
199,C00547182,CAPITALIST PAC,QUARTERLY FILER
200,C00493718,CARMEN'S LIST,QUARTERLY FILER
201,C00558882,CAROLINA CONSERVATIVES UNITED,QUARTERLY FILER
202,C00554394,CAROLINA PATRIOT ALLIANCE,QUARTERLY FILER
203,C00494021,CATHOLICVOTE.ORG CANDIDATE FUND,QUARTERLY FILER
204,C00519876,CATS FOR A BETTER TOMORROW TOMORROW,QUARTERLY FILER
205,C00502658,CAUSEPAC,QUARTERLY FILER
